bestName,hexCode
Underneath The Summer Sun,0xffe554
Sea Serpent Sands,0x31afa4
Blood Feeling Its Plum Fantasy,0x63011c
Powdered Barbie Nose,0xf588cc
Ultra Violent,0xe501ff
Pink In The Clouds,0xd596d6
Cherry Lips Red,0x9b223d
Karens Kelly Green,0x6dc76c
Effy,0x00004f
Devils Pastel,0xd62e1c
Bluegrass Green,0x204a2c
Mariana Seafoam,0x78b2a3
Roasted Roses,0x8b0c34
Calming Synthesia,0x6571e7
Eyes On The Prize,0x5faad4
Hephaestus' Fires,0xdb6b21
Sailor's Blue,0x3b3091
Raspberry Truffle,0x75213a
Hazel Nut Chocolate,0xa5742b
Lemontwist,0xfffd1b
Sleeping Powder,0xb6dfef
Lightning Purple,0xb344fd
Midnight Master,0x332c61
Tumblr Dashboard,0x2b435a
The Seaweed Is Always Greener,0x72d95f
Tulip On A Monday,0xdd6adb
Ibis Aqua,0x0a98bb
Wine Tears,0x7c2056
Innocent Yellow,0xf9e475
That End Of A Movie Feeling,0x7da3ed
Cow Mustard,0xc7974e
Cool Blue As In Cold And Swag,0x158cbd
Red Kisses,0xb11111
Barbies Favorite,0xfb2eb3
Demure Elle Woods,0xfd91c7
Inter Red,0xff7575
Orange And Cream Ice Cream,0xe67909
Just Watered,0x3a8838
White Out,0xf6fafe
Passion Fruit Nectar,0xf0bb3e
Steel Bones,0x67776a
AstroDust,0xb79c89
Im 99 Percent Sure This Is White,0xeff6f5
Overcast Winter Evening,0x776fa9
Negligent Prince,0x3700ef
Green Apple Grove,0xdff592
Red Winery,0x90013e
Bubbly Cheerleader,0xdc8ae3
Skyfall,0x79aebe
Dirty Dirty Dirty Dirt,0x705207
Soft Prairie Mint,0xd1ffe4
Sky On The Day That Is Kinda Ok,0xa4b1ed
Brooklyn Peaches,0xe58f5a
Underwater Sky,0x5075d3
Seductive Green,0x027e73
White Tea Grey,0xbacbc9
Bahamian Sea,0x25acb4
New Discord Logo,0x586aea
Radish,0xc1313f
Blinding Eye Blue,0x71fff8
Polar Ice,0xa0e8e8
Charlotte La Bouff,0xdc4f66
I-79 At 3 AM,0x02141f
Night Sky Is Clear,0x272e54
Swampy Goop,0x656904
Flooded Pine,0x003124
Juniper Ruby,0x954f85
Real Women KILL THEIR HUSBANDS,0x690606
Back Country Hike,0x0d3a06
Burning Flamingo Pink,0xfd378b
Qid,0xa46c3d
Kind Of Blackish,0x070f00
Ballet Leotard,0x63387b
French Royal Blue,0x062d5d
Piper,0xa8a7fd
McDonalds Soggy French Fries,0xffe699
Paprika Dusting,0xe1662d
October Never Ends,0xf46d41
Felicitys Afternoon,0xd0ccff
Strawberry Nesquick,0xeb778b
Cool Clementine,0xff8a4f
Acai Fusion,0x9108a6
Summer Promise,0xed83a5
Morning Pastel Rose Pink,0xe5cfc5
Russian Roulette Nightcore,0x0f0807
Mossy Carpet Green,0xabbe8c
Post-it Note Yellow,0xfffaba
Musty Forest Green,0x517846
Feeling Flushed,0xf071b5
Immature Tomato,0x75c52d
Sparkling Apricot,0xf09246
Aloe Goo Green,0x569a53
Grapeple,0xcb00a6
Pretty Much Red,0xff0003
